,year,artists,duration_ms,name,popularity
4006,1942,"['Bing Crosby', 'Ken Darby Singers', 'John Scott Trotter & His Orchestra']",177480,White Christmas,76
4406,1944,['Judy Garland'],162333,Have Yourself A Merry Little Christmas,70
4607,1945,['Bing Crosby'],166000,It's Beginning To Look Like Christmas,71
5006,1947,['Gene Autry'],150267,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,70
7006,1957,['Elvis Presley'],129173,Blue Christmas,74
7007,1957,"['Ella Fitzgerald', 'Louis Armstrong']",185160,Dream A Little Dream Of Me - Single Version,72
7206,1958,['Frank Sinatra'],199093,Come Fly With Me - Remastered,70
7207,1958,['Elvis Presley'],146480,Jailhouse Rock,73
7406,1959,['Dean Martin'],117147,Let It Snow! Let It Snow! Let It Snow!,81
7409,1959,['Chuck Berry'],161560,Johnny B. Goode,75
7411,1959,['Dean Martin'],135760,Rudolph The Red-Nosed Reindeer,70
7606,1960,['Etta James'],179693,At Last,76
7607,1960,['Etta James'],196133,A Sunday Kind Of Love,70
7806,1961,['Elvis Presley'],182360,Can't Help Falling in Love,78
8006,1962,['Nat King Cole'],192160,The Christmas Song (Merry Christmas To You),77
8007,1962,['Nat King Cole'],84987,Joy To The World,72
8009,1962,['Ben E. King'],180056,Stand by Me,78
8010,1962,"['Frank Sinatra', 'Count Basie']",147000,Fly Me To The Moon (In Other Words),75
8011,1962,['Roy Orbison'],178933,"Oh, Pretty Woman",74
8206,1963,['Andy Williams'],151933,It's the Most Wonderful Time of the Year,83
8207,1963,['The Ronettes'],181267,Sleigh Ride,80
8208,1963,['Darlene Love'],166453,Christmas (Baby Please Come Home),70
8209,1963,['Johnny Cash'],158427,Ring of Fire,71
8210,1963,['The Beatles'],155227,Twist And Shout - Remastered 2009,74
8212,1963,['The Beach Boys'],149373,Surfin' U.S.A. - Remastered,71
8219,1963,['Bob Dylan'],165427,Blowin' in the Wind,70
8406,1964,['Brenda Lee'],126267,Rockin' Around The Christmas Tree,85
8407,1964,['The Animals'],271280,House Of The Rising Sun,70
8410,1964,['Simon & Garfunkel'],185413,The Sound of Silence - Acoustic Version,74
8411,1964,['The Kinks'],134253,You Really Got Me - Mono Mix,71
8429,1964,['Chuck Berry'],161907,You Never Can Tell,70
8606,1965,['The Temptations'],165000,My Girl,79
8607,1965,['Burl Ives'],135533,A Holly Jolly Christmas - Single Version,71
8608,1965,['Vince Guaraldi Trio'],309387,O Tannenbaum,70
8609,1965,['The Beatles'],125667,Yesterday - Remastered 2009,77
8610,1965,['The Rolling Stones'],222813,(I Can't Get No) Satisfaction - Mono Version,77
8611,1965,['Four Tops'],160280,"I Can't Help Myself (Sugar Pie, Honey Bunch)",72
8612,1965,['The Beatles'],146333,In My Life - Remastered 2009,73
8614,1965,['Bob Dylan'],369600,Like a Rolling Stone,74
8617,1965,['Nina Simone'],174000,Feeling Good,74
8618,1965,['The Beatles'],139560,Help! - Remastered 2009,72
8622,1965,['The Righteous Brothers'],218013,Unchained Melody,72
8806,1966,['The Mamas & The Papas'],162373,California Dreamin' - Single Version,79
8807,1966,['Buffalo Springfield'],153693,For What It's Worth,75
8808,1966,['The Rolling Stones'],202267,"Paint It, Black",78
8809,1966,['Dean Martin'],142560,Silver Bells,70
8811,1966,['The Beach Boys'],153205,Wouldn't It Be Nice - Stereo Mix,71
8812,1966,['The Supremes'],167933,You Can't Hurry Love,73
8814,1966,['Frank Sinatra'],187040,That's Life,72
8815,1966,['The Beach Boys'],173040,God Only Knows - Remastered,71
8819,1966,['The Rolling Stones'],204480,"Paint It, Black - Mono",70
8825,1966,['James Brown & The Famous Flames'],165800,I Got You (I Feel Good),70
9006,1967,['Van Morrison'],183307,Brown Eyed Girl,79
9007,1967,"['Marvin Gaye', 'Tammi Terrell']",151667,Ain't No Mountain High Enough,80
9008,1967,['Jimi Hendrix'],170813,Purple Haze,72
9009,1967,['The Turtles'],176293,Happy Together,74
9010,1967,['The Monkees'],167373,I'm a Believer - 2006 Remaster,73
9011,1967,['The Beach Boys'],219027,Good Vibrations - Remastered,70
9012,1967,['Jimi Hendrix'],145747,Little Wing,71
9013,1967,['The Beatles'],247320,Strawberry Fields Forever - Remastered 2009,71
9014,1967,['The Doors'],429760,Light My Fire,73
9015,1967,['Aretha Franklin'],147600,Respect,73
9016,1967,['Jefferson Airplane'],174840,Somebody to Love,72
9017,1967,['Jimi Hendrix'],210160,Hey Joe,71
9018,1967,['The Doors'],130173,People Are Strange,71
9019,1967,['The Doors'],145867,Break on Through (To the Other Side),72
9023,1967,"['Frank Sinatra', 'Nancy Sinatra']",162493,Somethin' Stupid,71
9206,1968,['Jimi Hendrix'],240800,All Along the Watchtower,78
9207,1968,['The Band'],274493,The Weight - Remastered,73
9208,1968,['The Foundations'],177533,Build Me Up Buttercup,74
9209,1968,['The Rolling Stones'],378147,Sympathy For The Devil - 50th Anniversary Edition,75
9210,1968,['The Beatles'],138387,Blackbird - Remastered 2009,74
9211,1968,['Steppenwolf'],271573,Magic Carpet Ride,70
9212,1968,['Simon & Garfunkel'],244027,"Mrs. Robinson - From ""The Graduate"" Soundtrack",76
9213,1968,['Otis Redding'],163756,(Sittin' On) the Dock of the Bay,75
9216,1968,['Tony Bennett'],133867,Winter Wonderland,71
9217,1968,['Cream'],298333,White Room,72
9219,1968,['Marvin Gaye'],194293,I Heard It Through The Grapevine,73
9220,1968,['Etta James'],156653,I'd Rather Go Blind,70
9221,1968,['Stevie Wonder'],169800,For Once In My Life,72
9223,1968,['The Beatles'],188960,"Ob-La-Di, Ob-La-Da - Remastered 2009",71
9224,1968,['Aretha Franklin'],216773,I Say a Little Prayer,76
9225,1968,['The Beatles'],285000,While My Guitar Gently Weeps - Remastered 2009,70
9406,1969,['Creedence Clearwater Revival'],140773,Fortunate Son,81
9407,1969,['The Beatles'],185733,Here Comes The Sun - Remastered 2009,82
9408,1969,['Neil Diamond'],203573,Sweet Caroline,78
9409,1969,['Creedence Clearwater Revival'],141600,Bad Moon Rising,78
9410,1969,['The Beatles'],259947,Come Together - Remastered 2009,79
9411,1969,['The Rolling Stones'],270773,Gimme Shelter,76
9412,1969,['Norman Greenbaum'],242893,Spirit In The Sky,74
9413,1969,['Led Zeppelin'],333893,Whole Lotta Love - 1990 Remaster,77
9414,1969,['Creedence Clearwater Revival'],166280,Down On The Corner,73
9415,1969,['The Jackson 5'],176333,I Want You Back,76
9416,1969,['Led Zeppelin'],263333,Ramble On - 1990 Remaster,70
9417,1969,['Frank Sinatra'],276800,My Way,74
9418,1969,['David Bowie'],318813,Space Oddity - 2015 Remaster,73
9422,1969,['The Beatles'],182293,Something - Remastered 2009,71
9429,1969,['Elvis Presley'],261280,Suspicious Minds,72
9434,1969,['Joe Cocker'],312173,With A Little Help From My Friends,70
9606,1970,['Creedence Clearwater Revival'],160333,Have You Ever Seen The Rain,71
9607,1970,['Stevie Wonder'],161160,"Signed, Sealed, Delivered (I'm Yours)",77
9608,1970,['The Jackson 5'],144013,Santa Claus Is Coming To Town,75
9609,1970,['Van Morrison'],205613,Into the Mystic - 2013 Remaster,74
9610,1970,['James Taylor'],203613,Fire and Rain - 2019 Remaster,74
9611,1970,['Led Zeppelin'],146250,Immigrant Song - Remaster,77
9612,1970,['The Jackson 5'],181267,I Saw Mommy Kissing Santa Claus,73
9613,1970,['The Beatles'],243027,Let It Be - Remastered 2009,78
9614,1970,['Elton John'],241787,Your Song,77
9616,1970,['Allman Brothers Band'],180067,Midnight Rider,70
9617,1970,['Simon & Garfunkel'],174827,Cecilia,74
